클러스터별 평균 상관계수:
Cluster 2: 0.8686
Cluster 6: 0.8773
Cluster 0: 0.8784
Cluster 4: 0.8925
Cluster 3: 0.9012
Cluster 7: 0.9017

enbid_pci,cluster,accuracy,category
36431_318,6,0.889373817565448,매우 좋음
42228_138,6,0.8916496279162229,매우 좋음
37105_364,6,0.8940421195293486,매우 좋음
37105_315,6,0.9029345919877143,매우 좋음
37066_140,6,0.9048001988183101,매우 좋음
35720_222,6,0.9050997561144207,매우 좋음
34766_135,6,0.90725748427896,매우 좋음
36474_149,6,0.908765911636602,매우 좋음
37676_103,6,0.9095798360595535,매우 좋음
34332_163,6,0.9105550742485067,매우 좋음
37930_24,6,0.9127322963540493,매우 좋음
37083_261,6,0.9134032462791615,매우 좋음
37085_283,6,0.9139128985326181,매우 좋음
37111_427,6,0.9183213587029466,매우 좋음
46384_480,6,0.9193737164223341,매우 좋음
37111_148,6,0.9207983581446271,매우 좋음
46389_175,6,0.9218964992713976,매우 좋음
46389_107,6,0.9238589595170518,매우 좋음
34344_216,6,0.9241712984274703,매우 좋음
42228_44,6,0.9282827817016499,매우 좋음
35540_68,6,0.9306143200278141,매우 좋음
34135_292,6,0.9321203936480191,매우 좋음
37810_9,6,0.9338195304309328,매우 좋음
37104_476,6,0.9341405525694505,매우 좋음
34785_289,6,0.9351919245793656,매우 좋음
34781_261,6,0.9383872290310692,매우 좋음
34345_170,6,0.9398848847526355,매우 좋음
34768_106,6,0.9417875410979558,매우 좋음
37100_141,6,0.9423322471583274,매우 좋음
34801_182,6,0.9437902285000797,매우 좋음
34764_139,6,0.9439913816421032,매우 좋음
34800_166,6,0.9441273259548428,매우 좋음
35703_11,6,0.9462495956732542,매우 좋음
36054_291,6,0.9490209522593591,매우 좋음
37095_218,6,0.9502349519947144,매우 좋음
41937_306,6,0.9516237042834179,매우 좋음
34135_128,6,0.9538705968164557,매우 좋음
35300_123,6,0.956064094283662,매우 좋음
34553_127,6,0.9572919150408119,매우 좋음
36465_117,6,0.9589974593693613,매우 좋음
34786_176,6,0.9591198276439048,매우 좋음
35607_105,6,0.9596063955469072,매우 좋음
34555_142,6,0.9612913749884708,매우 좋음
34134_177,6,0.96390926117431,매우 좋음
35920_262,6,0.9657385626604718,매우 좋음
37810_186,6,0.9728385599527045,매우 좋음
36480_293,7,0.05189002503438761,개선 필요
37100_89,7,0.39559428135181496,개선 필요
37095_278,7,0.6055235410086247,허용 가능
37087_203,7,0.6320138467616059,허용 가능
37116_154,7,0.7671697936514741,좋음
37060_234,7,0.7707087509376171,좋음
37093_323,7,0.7797742298450308,좋음
37066_139,7,0.8027787467157532,매우 좋음
37811_110,7,0.8192785708183439,매우 좋음
37066_117,7,0.8207640311816545,매우 좋음
34333_257,7,0.8369759031614461,매우 좋음
37102_302,7,0.8485818318860381,매우 좋음
34332_213,7,0.849419071986641,매우 좋음
34806_214,7,0.8533451970612888,매우 좋음
36431_241,7,0.8685233706510104,매우 좋음
37079_252,7,0.8722723230784339,매우 좋음
37115_371,7,0.8781562694269722,매우 좋음
34345_111,7,0.8790650058334123,매우 좋음
36431_137,7,0.8845682460353788,매우 좋음
34333_196,7,0.8848167668206476,매우 좋음
37103_100,7,0.8855266399746866,매우 좋음
34133_333,7,0.8872523047335641,매우 좋음
34486_128,7,0.8896378965828848,매우 좋음
37057_273,7,0.890492051224174,매우 좋음
37063_320,7,0.8905162244812199,매우 좋음
37060_144,7,0.8913167125977506,매우 좋음
37083_334,7,0.8921262529274527,매우 좋음
37063_263,7,0.8942826522275682,매우 좋음
37080_310,7,0.8968493877488384,매우 좋음
33195_343,7,0.8980630757490404,매우 좋음
37084_307,7,0.899116544111434,매우 좋음
37081_161,7,0.900813503036246,매우 좋음
37103_126,7,0.901631056923669,매우 좋음
37079_314,7,0.9067732973942955,매우 좋음
36153_428,7,0.9082324572459087,매우 좋음
37811_330,7,0.9092302744225766,매우 좋음
34554_382,7,0.9106829263274814,매우 좋음
40155_201,7,0.9119659434131382,매우 좋음
35692_128,7,0.912927462577913,매우 좋음
37809_233,7,0.913562411509746,매우 좋음
37084_131,7,0.9144611415532395,매우 좋음
46384_485,7,0.9154714140669546,매우 좋음
37676_187,7,0.9155159404739966,매우 좋음
37103_420,7,0.9166347966827062,매우 좋음
42922_25,7,0.9168498241501677,매우 좋음
37861_25,7,0.9182803045786119,매우 좋음
